id,domain,task_type,split,prediction,rationale,acc,mse,consistency_pass,novelty,reasoning_depth,efficiency,prompt_tokens,completion_tokens,total_tokens
sr-0,physics,equation,iid,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,1.0,0.0,True,0.0,0.14,1.0,36,30,66
sr-1,physics,equation,iid,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,0.0,137.0,False,0.0,0.14,1.0,36,30,66
sr-2,physics,equation,iid,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,1.0,0.0,True,0.0,0.14,1.0,36,30,66
sr-3,physics,equation,iid,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,0.0,137.0,False,0.0,0.14,1.0,36,30,66
sr-4,physics,equation,iid,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,1.0,0.0,True,0.0,0.14,1.0,36,30,66
sr-5,physics,equation,ood,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,0.0,137.0,False,0.0,0.14,1.0,36,30,66
sr-6,physics,equation,ood,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,1.0,0.0,True,0.0,0.14,1.0,36,30,66
sr-7,physics,equation,ood,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,0.0,137.0,False,0.0,0.14,1.0,36,30,66
sr-8,physics,equation,ood,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,1.0,0.0,True,0.0,0.14,1.0,36,30,66
sr-9,physics,equation,ood,y = 2*x + 1  # MOCK hypothesis,Fitted a linear model using synthetic reasoning.,0.0,137.0,False,0.0,0.14,1.0,36,30,66
